client_id;record_id;first_rec;sessions;length;rejects;income;trans;conversion;pc;mob;pad;organic;paid;referal;click;compare;cart
58;8895;0;6;77;0;0;0;33,33;0;0;0;0;1;0;0;0;0
58;16432;0;1;1;0;0;0;100;0;0;0;0;0;0;1;0;0
59;1841;1;2;1310;50;0;0;50;1;0;0;0;0;0;0;0;0
59;12095;0;2;1310;50;0;0;50;0;0;0;0;1;0;0;0;0
60;828;1;3;81;0;0;0;0;1;0;0;0;0;0;0;0;0
60;10053;0;3;81;0;0;0;0;0;0;0;0;1;0;0;0;0
61;5644;1;2;289;50;0;0;50;0;1;0;0;0;0;0;0;0
61;12188;0;2;289;50;0;0;50;0;0;0;0;1;0;0;0;0
62;1880;1;2;88;50;0;0;0;1;0;0;0;0;0;0;0;0
62;12190;0;2;88;50;0;0;0;0;0;0;0;1;0;0;0;0
63;8110;1;2;16;0;0;0;0;0;0;1;0;0;0;0;0;0
63;12241;0;2;16;0;0;0;0;0;0;0;0;1;0;0;0;0
64;5679;1;2;1212;0;0;0;100;0;1;0;0;0;0;0;0;0
64;12246;0;2;1212;0;0;0;100;0;0;0;0;1;0;0;0;0
65;1931;1;2;85;0;0;0;0;1;0;0;0;0;0;0;0;0
66;5713;1;2;3;0;0;0;0;0;1;0;0;0;0;0;0;0
66;12310;0;2;3;0;0;0;0;0;0;0;0;1;0;0;0;0
67;3695;1;7;0;85,71;0;0;0;0;1;0;0;0;0;0;0;0
67;8824;0;7;0;85,71;0;0;0;0;0;0;0;1;0;0;0;0
68;1958;1;2;2625;0;0;0;100;1;0;0;0;0;0;0;0;0
68;12350;0;2;2625;0;0;0;100;0;0;0;0;1;0;0;0;0
69;2015;1;2;2;0;0;0;0;1;0;0;0;0;0;0;0;0
69;12447;0;2;2;0;0;0;0;0;0;0;0;1;0;0;0;0
70;2061;1;2;1294;0;0;0;50;1;0;0;0;0;0;0;0;0
70;16121;0;2;1294;0;0;0;50;0;0;0;0;0;1;0;0;0
71;5883;1;2;74;0;0;0;0;0;1;0;0;0;0;0;0;0
71;12625;0;2;74;0;0;0;0;0;0;0;0;1;0;0;0;0
72;16487;1;1;9;0;0;0;100;0;0;0;0;0;0;1;0;0
73;5978;1;2;17;0;0;0;0;0;1;0;0;0;0;0;0;0
73;12786;0;2;17;0;0;0;0;0;0;0;0;1;0;0;0;0
74;4506;1;3;5;33,33;0;0;0;0;1;0;0;0;0;0;0;0
74;10203;0;3;5;33,33;0;0;0;0;0;0;0;1;0;0;0;0
75;2209;1;2;0;100;0;0;0;1;0;0;0;0;0;0;0;0
75;12831;0;2;0;100;0;0;0;0;0;0;0;1;0;0;0;0
76;6008;1;2;279;0;0;0;50;0;1;0;0;0;0;0;0;0
76;12833;0;2;279;0;0;0;50;0;0;0;0;1;0;0;0;0
77;4518;1;3;3;0;0;0;0;0;1;0;0;0;0;0;0;0
77;10218;0;3;3;0;0;0;0;0;0;0;0;1;0;0;0;0
78;6071;1;2;3;0;0;0;0;0;1;0;0;0;0;0;0;0
78;12940;0;2;3;0;0;0;0;0;0;0;0;1;0;0;0;0
79;2313;1;2;1;50;0;0;0;1;0;0;0;0;0;0;0;0
79;8546;0;2;1;50;0;0;0;0;0;0;1;0;0;0;0;0
80;939;1;3;153;0;0;0;66,67;1;0;0;0;0;0;0;0;0
80;10295;0;3;153;0;0;0;66,67;0;0;0;0;1;0;0;0;0
81;6244;1;2;77;0;0;0;0;0;1;0;0;0;0;0;0;0
81;16156;0;2;77;0;0;0;0;0;0;0;0;0;1;0;0;0
82;2430;1;2;75;0;0;0;0;1;0;0;0;0;0;0;0;0
82;8556;0;2;75;0;0;0;0;0;0;0;1;0;0;0;0;0
83;4594;1;3;159;66,67;0;0;33,33;0;1;0;0;0;0;0;0;0
83;10349;0;3;159;66,67;0;0;33,33;0;0;0;0;1;0;0;0;0
84;6310;1;2;0;100;0;0;0;0;1;0;0;0;0;0;0;0
84;13340;0;2;0;100;0;0;0;0;0;0;0;1;0;0;0;0
